,gdp_total,imports_goods_services,household_cons,gov_consumption,investments,gpd_invest_business_households,gov_invest,change_supply,exports_goods_services,BeloningSeizoengecorrigeerd_2,Loonkosten_7,BeloningVanWerknemers_8,Bankruptcies_monthly,BusinessOutlook_Industry_monthly,BusinessOutlook_Retail_monthly,Consumentenvertrouwen_1_monthly,EconomischKlimaat_2_monthly,Koopbereidheid_3_monthly,EconomischeSituatieLaatste12Maanden_4_monthly,EconomischeSituatieKomende12Maanden_5_monthly,FinancieleSituatieLaatste12Maanden_6_monthly,FinancieleSituatieKomende12Maanden_7_monthly,GunstigeTijdVoorGroteAankopen_8_monthly,CPI_1_monthly,CPIAfgeleid_2_monthly,MaandmutatieCPI_3_monthly,MaandmutatieCPIAfgeleid_4_monthly,ProducerConfidence_1_monthly,ExpectedActivity_2_monthly,CHN_monthly,JPN_monthly,FRA_monthly,USA_monthly,DEU_monthly,CAN_monthly,G20_monthly,IMP_advanceEconomies_monthly,EXP_advancedEconomies_monthly,IMP_EuroArea_monthly,Exp_EuroArea_monthly,InterestRatesNLD_monthly,M3_1_monthly,M3_2_monthly,M1_monthly,EA_monthly,US_monthly,UK_monthly,AEX_close_monthly
2002-07-01,148876.0,76303.0,75550.0,34624.0,30677.0,24296.0,6391.0,-526.0,84798.0,62453.0,69563.0,5.6,517.6666666666666,,,-9.333333333333334,-23.0,0.0,-50.333333333333336,4.333333333333333,3.3333333333333335,19.666666666666668,-23.333333333333332,80.82333333333334,83.85333333333334,0.06666666666666667,0.033333333333333326,-4.1000000000000005,5.5,98.74383999999999,99.25702000000001,99.28547333333334,99.35618666666666,99.30754666666667,100.68973333333334,99.47499,77.8,74.23333333333333,82.89999999999999,81.36666666666666,,424718.3333333333,411009.0,151658.0,3.4459999999999997,1.9166,4.168166666666667,478.4966636666666
2002-10-01,149107.0,76995.0,75725.0,34678.0,30393.0,23945.0,6467.0,-309.0,85547.0,62961.0,58356.0,4.1,580.0,,,-25.0,-44.666666666666664,-12.0,-69.33333333333333,-20.0,-9.666666666666666,13.333333333333334,-40.0,81.01333333333334,84.04333333333334,0.43333333333333335,0.43333333333333335,-3.4,7.333333333333333,99.50439,99.36097333333333,98.74505666666666,98.63087666666667,98.93413,100.01982,99.19036333333334,78.89999999999999,75.03333333333335,83.83333333333333,82.5,,423745.3333333333,408676.6666666667,148374.33333333334,3.357333333333333,1.8093333333333332,4.0119,343.846659
2003-01-01,149330.0,76849.0,76093.0,34698.0,29242.0,22811.0,6466.0,181.0,85905.0,63353.0,61293.0,4.8,616.6666666666666,,,-28.0,-50.0,-13.333333333333334,-76.66666666666667,-24.0,-13.0,10.333333333333334,-38.0,81.23666666666666,84.32666666666667,-0.26666666666666666,-0.26666666666666666,-4.566666666666666,4.366666666666667,100.27516666666668,99.26996000000001,98.16678666666667,97.99338,98.45699666666667,99.24842000000001,98.86204333333335,79.93333333333332,75.36666666666667,85.10000000000001,83.10000000000001,,431537.6666666667,415417.6666666667,149507.66666666666,3.1088,1.5490000000000002,3.9844000000000004,342.5199989999999
2003-04-01,149356.0,78181.0,75850.0,35323.0,29574.0,23219.0,6379.0,-209.0,86931.0,63730.0,60479.0,1.9,638.6666666666666,,,-31.666666666666668,-58.666666666666664,-14.0,-82.0,-35.333333333333336,-16.333333333333332,4.666666666666667,-31.333333333333332,81.84333333333333,84.67666666666666,0.6333333333333333,0.5333333333333333,-8.633333333333333,-0.46666666666666673,100.95613333333334,99.34182,97.56282333333333,97.79548666666666,98.46249333333333,98.74189000000001,98.67014999999999,80.7,75.33333333333333,86.10000000000001,82.26666666666667,4.693333333333333,451386.3333333333,435792.3333333333,150768.66666666666,2.6830999999999996,1.3320666666666667,3.797266666666667,269.896662
2003-07-01,148840.0,77785.0,75690.0,35370.0,29633.0,23156.0,6511.0,-195.0,86093.0,64318.0,72057.0,3.4,762.6666666666666,,,-34.333333333333336,-57.0,-19.0,-81.33333333333333,-33.0,-21.666666666666668,2.3333333333333335,-37.0,82.44333333333333,85.30333333333333,-0.16666666666666666,-0.16666666666666666,-9.933333333333332,-0.8666666666666666,101.32150000000001,99.62061,97.30637999999999,98.18132666666668,98.82732333333333,98.71411666666667,98.82944333333334,80.89999999999999,75.16666666666667,85.83333333333333,81.60000000000001,4.486666666666667,469160.6666666667,452354.0,156983.33333333334,2.3619,1.2357666666666667,3.6393999999999997,284.9166666666667
2003-10-01,148972.0,77598.0,75435.0,35492.0,29786.0,23215.0,6611.0,-574.0,86395.0,64616.0,59854.0,2.4,740.6666666666666,,,-34.0,-51.666666666666664,-22.333333333333332,-82.0,-22.0,-25.333333333333332,-1.0,-40.0,82.68333333333334,85.64333333333333,0.4666666666666666,0.5,-9.1,2.3000000000000003,101.4178,100.06116666666667,97.70964333333332,99.17173666666667,99.55826666666667,99.40502,99.45190666666667,81.46666666666665,76.83333333333333,85.66666666666667,83.3,4.32,470221.3333333333,452456.0,155387.66666666666,2.1392333333333333,1.1290333333333333,3.5698000000000003,317.893331
2004-01-01,149770.0,79220.0,75577.0,35584.0,30326.0,23803.0,6553.0,-576.0,88046.0,65038.0,63262.0,3.0,774.0,,,-28.0,-39.333333333333336,-20.333333333333332,-74.33333333333333,-4.666666666666667,-25.0,-1.0,-35.0,82.76333333333334,85.73,-0.39999999999999997,-0.39999999999999997,-5.833333333333333,4.3,101.55946666666667,100.45123333333333,98.39281999999999,100.34200333333332,100.19243333333333,100.32896666666666,100.22026333333334,84.93333333333334,79.86666666666666,89.43333333333334,86.33333333333333,4.496666666666666,478239.6666666667,459467.3333333333,156089.0,2.1496333333333335,1.167,3.9341333333333335,333.35333233333336
2004-04-01,151125.0,79275.0,76436.0,34936.0,30177.0,23732.0,6466.0,-397.0,89132.0,64981.0,61192.0,1.4,800.6666666666666,,,-22.0,-26.666666666666668,-18.666666666666668,-63.333333333333336,10.0,-23.333333333333332,-0.3333333333333333,-32.333333333333336,82.83666666666666,85.56666666666666,0.43333333333333335,0.3333333333333333,-4.933333333333334,3.6,101.41523333333333,100.64563333333332,98.97665333333333,101.04713333333332,100.40366666666667,100.89373333333333,100.6223,86.39999999999999,81.3,89.83333333333333,87.33333333333333,4.326666666666667,485524.3333333333,465239.3333333333,153103.0,2.0629666666666666,1.1215000000000002,4.172833333333333,349.5899963333333
2004-07-01,151846.0,82365.0,76082.0,35403.0,29726.0,23569.0,6169.0,-274.0,93100.0,65344.0,73327.0,2.0,777.0,,,-21.333333333333332,-24.333333333333332,-19.0,-55.333333333333336,6.333333333333333,-23.0,1.6666666666666667,-35.666666666666664,83.62333333333333,86.21666666666665,-0.033333333333333326,-0.06666666666666665,-1.9000000000000001,6.133333333333333,100.83133333333335,100.79953333333333,99.34406666666666,101.08003333333333,100.45226666666667,100.84336666666667,100.60156666666667,89.16666666666667,83.83333333333333,92.33333333333333,90.13333333333333,4.113333333333333,491816.6666666667,470269.0,157949.0,2.0824666666666665,1.3019333333333334,4.571033333333333,341.243337
2004-10-01,152073.0,83773.0,76047.0,35323.0,29504.0,23436.0,6072.0,18.0,94778.0,65440.0,60242.0,0.9,776.6666666666666,,,-17.0,-17.666666666666668,-17.0,-47.0,12.333333333333334,-22.0,4.333333333333333,-33.333333333333336,83.62,86.16333333333334,0.3666666666666667,0.3333333333333333,-2.066666666666667,2.3000000000000003,100.49283333333334,100.85003333333333,99.62672666666667,100.78506666666665,100.35713333333332,100.46076666666666,100.50073333333334,89.3,83.46666666666665,92.63333333333333,89.53333333333335,4.206666666666667,490642.3333333333,468099.3333333333,153829.66666666666,2.1163000000000003,1.7537,4.922233333333334,325.656667
2005-01-01,152404.0,85729.0,76082.0,35440.0,29973.0,23918.0,6046.0,-461.0,96900.0,65687.0,63970.0,1.4,762.0,,,-22.0,-24.666666666666668,-20.0,-49.666666666666664,0.0,-25.0,-1.6666666666666667,-33.333333333333336,83.82000000000001,86.37666666666667,-0.39999999999999997,-0.39999999999999997,-2.5,3.5666666666666664,100.35076666666667,100.73910000000001,99.81841333333334,100.57869999999998,100.16879999999999,100.18766666666666,100.4667,91.43333333333334,84.86666666666667,94.60000000000001,91.23333333333333,3.9600000000000004,498070.3333333333,474454.3333333333,157679.0,2.1636,2.2959,4.8851,338.56999733333333
2005-04-01,152896.0,85467.0,76210.0,35207.0,30225.0,24191.0,6025.0,-366.0,96874.0,65712.0,61826.0,0.8,875.0,,,-19.333333333333332,-19.0,-19.666666666666668,-44.333333333333336,6.333333333333333,-27.666666666666668,-2.3333333333333335,-29.333333333333332,84.18666666666667,86.55333333333333,0.6333333333333333,0.5666666666666667,-2.5,4.066666666666666,100.17643333333332,100.62943333333334,99.76455333333332,100.45886666666667,99.84679333333334,100.06456666666666,100.31263333333334,91.46666666666665,84.7,93.8,89.86666666666667,3.7466666666666666,498308.0,474227.0,159477.33333333334,2.140333333333333,2.8366000000000002,4.9171000000000005,368.1166686666667
