,Bankruptcies,BusinessOutlook_Industry,BusinessOutlook_Retail,Consumentenvertrouwen_1,EconomischKlimaat_2,Koopbereidheid_3,EconomischeSituatieLaatste12Maanden_4,EconomischeSituatieKomende12Maanden_5,FinancieleSituatieLaatste12Maanden_6,FinancieleSituatieKomende12Maanden_7,GunstigeTijdVoorGroteAankopen_8,CPI_1,CPIAfgeleid_2,MaandmutatieCPI_3,MaandmutatieCPIAfgeleid_4,ProducerConfidence_1,ExpectedActivity_2,CHN,JPN,FRA,USA,DEU,CAN,G20,IMP_advanceEconomies,EXP_advancedEconomies,IMP_EuroArea,Exp_EuroArea,InterestRatesNLD,M3_1,M3_2,M1,EA,US,UK,AEX_close
2013-03-01,1103.0,-19.6,-31.9,-41.0,-60.0,-29.0,-78.0,-42.0,-32.0,-27.0,-27.0,98.58,99.13,1.1,1.1,-7.7,-1.2,100.8653,100.0639,98.42655,100.3152,99.51289,99.42834,100.1112,102.4,107.6,97.4,106.5,4.05,820988.0,775481.0,271573.0,0.2061,0.2819,0.5069,348.100006
2013-04-01,1039.0,-14.8,-22.7,-37.0,-53.0,-26.0,-75.0,-30.0,-31.0,-23.0,-24.0,98.67,99.18,0.1,0.1,-8.7,0.3,100.965,100.3255,98.41467,100.4289,99.64629,99.46237,100.1821,103.3,107.6,97.9,106.1,3.96,812674.0,766696.0,267604.0,0.2089,0.2771,0.5056,351.390015
2013-05-01,1185.0,-9.5,-10.6,-32.0,-42.0,-25.0,-70.0,-15.0,-34.0,-18.0,-24.0,98.69,99.21,0.0,0.0,-7.3,2.2,101.0611,100.5691,98.44987,100.5415,99.79276,99.52569,100.2459,104.0,109.1,98.5,105.2,3.77,812809.0,766544.0,274989.0,0.2012,0.2742,0.5056,363.380005
2013-06-01,1047.0,-9.9,-7.9,-33.0,-42.0,-27.0,-69.0,-15.0,-37.0,-16.0,-26.0,98.32,98.84,-0.4,-0.4,-7.2,1.0,101.155,100.7785,98.54214,100.6308,99.96037,99.62482,100.3018,104.0,108.4,98.3,105.5,3.68,816717.0,770058.0,279089.0,0.2103,0.2737,0.5079,344.589996
2013-07-01,1155.0,-10.9,-13.9,-35.0,-46.0,-27.0,-71.0,-22.0,-37.0,-17.0,-27.0,99.15,99.68,0.8,0.8,-6.0,4.5,101.2421,100.9638,98.6856,100.6855,100.144,99.75553,100.3491,104.7,108.0,99.3,105.5,3.68,808572.0,761629.0,273195.0,0.2214,0.2676,0.5094,369.809998
2013-08-01,878.0,-5.2,-10.0,-32.0,-39.0,-27.0,-65.0,-13.0,-38.0,-16.0,-28.0,99.03,99.55,-0.1,-0.1,-3.0,7.3,101.2981,101.1305,98.84912,100.7186,100.3399,99.90337,100.3877,104.6,109.3,99.6,107.1,3.65,812885.0,765768.0,278073.0,0.2259,0.2634,0.5126,362.929993
2013-09-01,879.0,-5.5,-6.8,-31.0,-37.0,-26.0,-65.0,-10.0,-37.0,-16.0,-26.0,99.08,99.61,0.1,0.1,-4.1,5.8,101.3118,101.2816,98.99215,100.733,100.5218,100.0379,100.4128,105.1,108.4,99.2,106.9,3.64,816284.0,769188.0,281813.0,0.2232,0.2532,0.5169,374.920013
2013-10-01,1133.0,-6.4,-12.4,-26.0,-29.0,-23.0,-60.0,1.0,-35.0,-15.0,-20.0,98.8,99.32,-0.3,-0.3,-2.2,9.1,101.2877,101.3987,99.08866,100.7379,100.6676,100.1332,100.4222,105.4,109.1,99.1,106.6,3.6,798764.0,751421.0,271158.0,0.2258,0.2418,0.5166,391.920013
2013-11-01,920.0,-1.1,-8.5,-16.0,-11.0,-20.0,-44.0,22.0,-32.0,-9.0,-20.0,98.31,98.84,-0.5,-0.5,-3.5,6.7,101.2311,101.467,99.12865,100.7422,100.7764,100.1824,100.4173,106.0,109.7,99.9,106.8,3.61,798572.0,751077.0,275867.0,0.2234,0.2382,0.5234,396.549988
2013-12-01,943.0,1.6,0.1,-11.0,0.0,-18.0,-33.0,33.0,-31.0,-4.0,-20.0,98.36,98.89,0.1,0.1,-3.3,6.4,101.1342,101.4628,99.13466,100.735,100.8408,100.1967,100.3942,105.6,109.1,100.0,106.8,3.65,784925.0,736003.0,278345.0,0.2735,0.2439,0.5246,401.790009
2014-01-01,938.0,3.1,0.8,-6.0,8.0,-15.0,-24.0,40.0,-27.0,0.0,-18.0,98.15,98.32,-0.2,-0.6,-2.8,7.0,100.9981,101.3749,99.113,100.7228,100.8624,100.2112,100.3592,106.6,109.6,101.4,107.3,3.6,788914.0,741001.0,271057.0,0.292,0.2382,0.5209,386.850006
2014-02-01,900.0,1.8,2.6,-2.0,12.0,-11.0,-15.0,39.0,-21.0,3.0,-15.0,98.57,98.74,0.4,0.4,-2.3,8.9,100.8473,101.2124,99.0786,100.7397,100.8294,100.2522,100.3307,105.7,109.6,100.5,107.5,3.53,793689.0,745620.0,279840.0,0.2881,0.2352,0.5215,398.540009
2014-03-01,781.0,4.4,8.4,1.0,18.0,-10.0,-8.0,44.0,-19.0,6.0,-16.0,99.39,99.57,0.8,0.8,-1.4,11.5,100.7005,101.0027,99.02638,100.7861,100.7405,100.3141,100.315,107.0,109.1,99.9,105.7,3.52,785492.0,737093.0,278876.0,0.3053,0.2341,0.5216,403.209991
2014-04-01,1040.0,5.1,9.0,4.0,23.0,-9.0,0.0,46.0,-19.0,7.0,-16.0,99.85,100.03,0.5,0.5,-2.8,7.9,100.5607,100.7503,98.9356,100.8438,100.6037,100.388,100.3005,107.4,110.2,100.6,107.6,3.51,773828.0,725081.0,269239.0,0.3297,0.2275,0.5267,400.549988
2014-05-01,792.0,3.6,4.7,6.0,25.0,-8.0,6.0,45.0,-17.0,9.0,-15.0,99.51,99.68,-0.3,-0.3,-2.3,7.6,100.4418,100.5086,98.81562,100.8947,100.4245,100.466,100.2845,106.9,110.2,100.8,107.0,3.45,788876.0,739721.0,275708.0,0.3246,0.2261,0.5275,407.209991
2014-06-01,653.0,3.8,6.3,6.0,25.0,-7.0,8.0,42.0,-17.0,9.0,-14.0,99.24,99.44,-0.3,-0.2,-2.8,6.4,100.3477,100.3136,98.69872,100.9321,100.2203,100.5343,100.2683,107.2,109.9,101.9,107.3,3.37,780554.0,731066.0,270286.0,0.2414,0.2309,0.5439,413.149994
2014-07-01,866.0,3.5,6.4,5.0,25.0,-7.0,8.0,41.0,-16.0,7.0,-14.0,100.05,100.26,0.8,0.8,-1.9,7.5,100.2803,100.1686,98.60964,100.9509,100.0105,100.5801,100.2541,108.2,110.7,102.0,107.5,3.34,772644.0,722662.0,262953.0,0.205,0.2342,0.5564,404.290009
2014-08-01,679.0,1.1,5.4,2.0,18.0,-9.0,8.0,29.0,-16.0,4.0,-14.0,99.98,100.2,-0.1,-0.1,-1.8,7.3,100.2332,100.0747,98.56477,100.9536,99.81229,100.5855,100.2418,107.7,110.8,101.6,107.0,3.33,775201.0,724994.0,266236.0,0.1916,0.2347,0.561,413.130005
2014-09-01,799.0,1.1,7.5,-2.0,9.0,-9.0,1.0,17.0,-16.0,1.0,-13.0,99.96,100.18,0.0,0.0,-2.0,7.0,100.1964,100.0236,98.57944,100.9415,99.65601,100.541,100.2317,109.1,111.9,102.9,109.1,3.27,779446.0,729240.0,275676.0,0.0971,0.234,0.5629,421.140015
