,gdp_total,imports_goods_services,household_cons,gov_consumption,investments,gpd_invest_business_households,gov_invest,change_supply,exports_goods_services,BeloningSeizoengecorrigeerd_2,Loonkosten_7,BeloningVanWerknemers_8,Bankruptcies,BusinessOutlook_Industry,BusinessOutlook_Retail,Consumentenvertrouwen_1,EconomischKlimaat_2,Koopbereidheid_3,EconomischeSituatieLaatste12Maanden_4,EconomischeSituatieKomende12Maanden_5,FinancieleSituatieLaatste12Maanden_6,FinancieleSituatieKomende12Maanden_7,GunstigeTijdVoorGroteAankopen_8,CPI_1,CPIAfgeleid_2,MaandmutatieCPI_3,MaandmutatieCPIAfgeleid_4,ProducerConfidence_1,ExpectedActivity_2,CHN,JPN,FRA,USA,DEU,CAN,G20,IMP_advanceEconomies,EXP_advancedEconomies,IMP_EuroArea,Exp_EuroArea,InterestRatesNLD,M3_1,M3_2,M1,EA,US,UK,AEX_close
4/1/1996,120719,49605,60203,27837,24149,19564,4555,853,56936,42764,47685,4,-19,,,-0.666666667,-10.33333333,5,-11,-9.666666667,3.666666667,10.33333333,1.333333333,68.78,73.07,0.533333333,0.533333333,-2.4,9.166666667,101.3427333,101.9967,98.53493333,98.92553333,99.17585667,98.65109333,100.1188,,,,,,1726.666667,1645,880,5.45,5.386866667,6.156633333,7.747573667
7/1/1996,122410,50984,60857,28075,24906,20299,4567,799,58409,43266,40482,3.7,4.333333333,,,4.333333333,-1.666666667,8,-4,0.333333333,6,15.33333333,3.666666667,68.82333333,73.11666667,-0.133333333,-0.1,-2.333333333,6.5,103.1925333,102.3022,98.46073333,99.39226667,99.29652,99.40494333,100.4391,,,,,,1817.666667,1765,1335.666667,5.066666667,5.569266667,5.957666667,-2.854288667
10/1/1996,123280,52800,61743,28262,26077,21296,4736,447,59372,43911,42792,3.3,33.33333333,,,12.66666667,14.66666667,11.33333333,10.66666667,18.33333333,8.333333333,20,6,69.21666667,73.55,0.333333333,0.333333333,-1.166666667,8.7,104.7342,102.3740333,98.15697333,99.64829333,99.68667333,99.94962667,100.6466667,,,,,,-45.33333333,26,-0.666666667,4.876666667,5.562633333,5.906566667,6.245559667
1/1/1997,124625,54295,62386,28552,25593,21100,4443,197,61933,44418,42212,6,-4.666666667,,,15.33333333,22.33333333,10,21.66666667,23.33333333,7.333333333,19.33333333,4,69.42333333,73.71666667,-0.033333333,-0.1,-0.3,9.966666667,103.9811667,102.0627667,97.94152333,99.89691667,100.0195167,100.4599333,100.7048333,,,,,,1956.333333,1924.666667,1428.666667,4.486666667,5.5403,6.410766667,14.92338067
4/1/1997,125922,56102,62840,28685,26204,21569,4581,905,63156,45030,50102,5.3,-22,,,20.66666667,29,15.33333333,31,27,13,21.33333333,10.66666667,69.97,74.16333333,0.366666667,0.333333333,1,11.23333333,102.2977,101.5283,98.31796333,100.2620667,100.3452333,100.9771,100.7742667,,,,,,1527.333333,1474,259.3333333,4.44,5.6597,6.349,13.25952133
7/1/1997,127752,57170,63466,28955,26083,21382,4652,1214,64893,45652,42545,5.4,7.333333333,,,24.33333333,33.66666667,18.33333333,38.33333333,28.33333333,15.66666667,24,14.66666667,70.21,74.41666667,0,0.033333333,2.2,10.16666667,100.18105,100.9155,98.9309,100.6752667,100.6701,101.4643667,100.7325667,,,,,,2153,2061.666667,1161,4.296666667,5.786033333,6.746033333,33.27584833
10/1/1997,129391,58403,64332,29204,26246,21573,4620,1806,65924,46602,45168,5.8,1.666666667,,,24.33333333,32.33333333,19.66666667,37.33333333,27,17.66666667,24.33333333,17,70.88333333,75.16333333,0.433333333,0.433333333,3.9,11.5,98.35738,99.94826,99.45758667,100.9348333,100.9227667,101.4511,100.4684333,,,,,,287.6666667,355,-119.3333333,4.37,5.7385,7.298833333,-18.72003167
1/1/1998,131136,59925,65113,29664,27592,22741,4790,2432,66140,47568,45270,7.5,-27.33333333,,,25.66666667,33.66666667,20.33333333,39.66666667,28.66666667,19,26.33333333,15.33333333,70.94333333,75.17333333,-0.2,-0.3,3.5,9.1,97.55169667,98.79559333,99.83190667,100.9306,100.9804333,100.9643,100.0042367,,,,,,4412,4405.333333,1974,4.373333333,5.799,7.643166667,14.68137633
4/1/1998,132075,60317,66323,29909,27132,22427,4643,1136,67720,48127,53415,6.8,29,,,29.66666667,40.33333333,22.66666667,48,32.66666667,21,27.33333333,20,71.56333333,75.70333333,0.566666667,0.533333333,2.766666667,9.566666667,97.69944333,97.87976667,100.3517333,100.7002,100.8804667,100.27103,99.53898,,,,,,3301,3290,1300,4.146666667,5.6693,7.548666667,25.86407467
7/1/1998,133202,61585,67424,30154,28161,23383,4706,415,68529,49114,45626,7.5,-19.33333333,,,33,42,27,50.33333333,33.33333333,24.33333333,28.33333333,28.66666667,71.65666667,75.80333333,-0.1,-0.1,2.666666667,10.23333333,98.47324667,97.30915,100.7634667,100.2025,100.5212667,99.084,99.03530667,,,,,,4465.666667,4414,1825,4.01,5.6902,7.669433333,15.384725
10/1/1998,134421,62328,68283,30269,28125,23248,4810,-1,69878,49966,48186,6.9,-26.66666667,,,22.66666667,19.66666667,24.33333333,34.33333333,5,23.33333333,23,27,72.10666667,76.29333333,0.333333333,0.366666667,0.6,8.966666667,99.04345,97.17885333,100.5250667,99.78635667,99.87298,98.34499333,98.68331333,,,,,,-632.6666667,-462.3333333,1144.666667,3.89,5.483333333,7.472166667,-35.72324633
1/1/1999,136662,64021,69437,30346,29657,24457,5135,-465,71498,51051,48761,7.7,-26.33333333,,,12.33333333,-2.333333333,21.66666667,16.33333333,-21,22,21.66666667,22.33333333,72.29,76.35333333,-0.066666667,-0.233333333,-2.066666667,5.9,99.31912333,97.74227,99.97868667,100.0399233,99.41799333,98.77330667,98.93676,,,,,,2756.333333,2887,3091.333333,3.397366667,5.184966667,6.452166667,27.137207
4/1/1999,138183,65869,70516,30449,29776,24448,5272,-376,73476,51901,57596,7.8,19,,,13.33333333,0.333333333,22,14.66666667,-14.33333333,20.66666667,23.33333333,22,73.08333333,76.94333333,0.533333333,0.533333333,-2.633333333,6.933333333,99.75694667,98.87225667,99.89025333,100.6257667,99.38143,99.53981333,99.69831667,,,,,,3081.666667,3001.333333,787.6666667,2.945533333,5.0003,5.4242,13.80999767
7/1/1999,140086,67659,71260,30758,30799,25256,5488,606,74151,52840,49081,7.6,-20.33333333,,,17.33333333,5.333333333,25.33333333,15,-4.333333333,23,26,26.33333333,73.20666667,77.07666667,-0.166666667,-0.166666667,-0.866666667,8.633333333,100.3542,99.89176,100.5541667,101.0399667,99.76863667,99.94284333,100.4952333,,,,,,3314,3249.333333,1088.666667,2.6274,5.1708,5.2456,-6.916666667
10/1/1999,142056,69855,71707,31042,31682,26205,5397,391,76853,53889,51966,7.7,9,,,26.66666667,25.66666667,27.33333333,32.33333333,19,25.66666667,30.66666667,26.66666667,73.70666667,77.58666667,0.366666667,0.333333333,1.4,9.7,100.1311833,100.6187,101.5548,101.2341,100.4583,100.2290667,101.0324333,,,,,,905.6666667,1024,416,2.932466667,5.7326,5.563466667,6.349995667
1/1/2000,142941,71275,72738,31237,30736,25273,5398,-196,79370,55575,53199,9,0.666666667,,,35,39,33,50,27.33333333,30.66666667,34.33333333,33.66666667,73.73333333,77.53,-0.133333333,-0.233333333,3.4,11.36666667,99.81598333,101.1545667,102.2793667,101.3585333,101.1918333,100.7078,101.4292667,,,,,,2368,2369.666667,1222,3.418933333,6.089366667,6.021366667,13.51999933
4/1/2000,144537,73740,72962,31504,31371,25890,5410,420,81700,56200,62382,8.3,-1.333333333,,,35.33333333,42.33333333,31,53.33333333,31,29.33333333,32.66666667,30.33333333,74.48,78.14333333,0.566666667,0.566666667,3.433333333,10.03333333,99.71522333,101.4536333,102.8118667,101.1982,101.7910667,101.0882667,101.5592667,0.733333333,0.5,0.3,0.633333333,,5305.666667,5241,1596.666667,3.736366667,6.2029,6.254233333,16.33333333
7/1/2000,145730,74662,73558,31878,31144,25720,5357,-564,84000,57156,53140,8.2,16.66666667,,,33.33333333,39.33333333,30,50,28.33333333,29.66666667,30.33333333,29.66666667,74.90333333,78.57333333,-0.033333333,-0.033333333,4.533333333,8.633333333,99.14715333,101.3539333,103.0692667,100.7716333,102.2371,101.1091333,101.2985333,0.633333333,0.633333333,0.8,0.866666667,,-1973.666667,-2009.666667,1345,4.4822,6.759233333,6.240966667,2.266662667
10/1/2000,147624,78435,74029,32037,31666,25740,5888,-460,88461,57834,55762,7.3,28,,,31,31.66666667,30.33333333,41.33333333,22,29.33333333,30.33333333,31,75.73,79.43,0.6,0.6,5,10.13333333,98.09738333,101.0401333,102.9776667,100.1119433,102.2722,100.5428667,100.7096,0.766666667,0.733333333,1.066666667,0.8,,1683.666667,1852,-495.3333333,4.8904,6.714666667,6.1953,4.126668333
1/1/2001,147784,77310,74157,32844,31448,25640,5760,1144,85247,58757,56158,5.6,2.333333333,,,29,26.66666667,30,36.66666667,16.66666667,29.33333333,30,31.33333333,76.02666667,79.48,0.1,-0.233333333,3.066666667,7.133333333,97.30471,100.5789667,102.5585333,99.12201333,101.6355,99.42358667,99.84795333,-0.133333333,0,-0.033333333,0.5,,5455.333333,5616.333333,-1284.666667,4.933966667,6.331666667,5.9625,-13.52667267
4/1/2001,148532,76332,74672,32994,31750,25898,5805,731,84505,59294,65887,5.6,-6.666666667,,,13.33333333,-1.333333333,23.33333333,16.33333333,-19.33333333,29.33333333,22.33333333,18.66666667,77.60333333,80.56666667,0.8,0.8,-1.133333333,4.8,97.00151,99.93946333,101.7333667,98.37282,100.3631967,98.60930667,99.05248,-0.8,-0.7,-0.4,-0.5,,5427.333333,5514.333333,1402.333333,4.715466667,4.975366667,5.570766667,-15.62998433
7/1/2001,148790,76665,74962,33151,31410,25499,5879,1059,84708,60377,56100,5.6,37.66666667,,,2,-24.33333333,18.66666667,-12.66666667,-35.33333333,26.33333333,17.66666667,13,78.15333333,81.15,-0.066666667,-0.066666667,-3.666666667,4.966666667,96.80689,99.26543667,100.5625,98.20303667,99.04489667,98.33227,98.60896,-0.5,-0.466666667,-0.466666667,-0.266666667,,-3508.333333,-3212.333333,732.6666667,4.519133333,3.8963,5.253833333,-14.79001867
10/1/2001,149270,75012,75509,33311,31969,25872,6069,-583,83855,60656,58550,5,16.33333333,,,-3.333333333,-34.33333333,17.33333333,-27.33333333,-41.33333333,23.66666667,18,10,78.88333333,81.91,0.5,0.5,-5.533333333,2.7,96.6783,98.68096667,99.40026333,98.09234667,98.261,98.49205,98.36261333,0,0.066666667,-0.3,0.066666667,,3706.333333,4520.666667,1501.333333,3.978766667,3.000233333,4.7181,-29.463328
1/1/2002,148359,75874,75454,34003,31149,24878,6266,-686,84188,62199,59253,5.5,4.333333333,,,-1,-31,19.66666667,-30.66666667,-31,25.66666667,22.66666667,10,79.08,82.09666667,0.1,0.066666667,-7.733333333,1.2,97.16838333,98.54486667,99.10449333,98.56150333,98.45935333,99.49062667,98.68673,-0.2,-0.066666667,-0.433333333,-0.4,,10101,10347.66667,3498,3.356466667,1.9493,4.031366667,13.53000867
4/1/2002,148876,76303,75550,34624,30677,24296,6391,-526,84798,62453,69563,5.6,-38.66666667,,,0.333333333,-15.66666667,10,-40.33333333,9,15,24,-7.666666667,80.41,83.43666667,0.633333333,0.633333333,-4.133333333,5.9,98.09589667,98.96194667,99.34440667,99.32441667,99.14980333,100.5809333,99.32537,0.766666667,0.6,0.433333333,0.5,,2037.333333,1458.333333,859.6666667,3.384933333,1.9527,4.1188,3.453328667
7/1/2002,149107,76995,75725,34678,30393,23945,6467,-309,85547,62961,58356,4.1,62,,,-14.66666667,-29,-4.666666667,-55.66666667,-2.333333333,-2,17.33333333,-30.33333333,80.70333333,83.72333333,-0.133333333,-0.166666667,-4.6,4.333333333,99.01957333,99.33717,99.14565,99.17827667,99.24428667,100.5395667,99.42439667,0.3,0.433333333,0,0.5,,266,-287.6666667,-376.3333333,3.447033333,1.8771,4.1306,-49.230001
10/1/2002,149330,76849,76093,34698,29242,22811,6466,181,85905,63353,61293,4.8,10.33333333,,,-28.66666667,-50.66666667,-14,-75.66666667,-26,-11.66666667,11.33333333,-42,81.33,84.39,0.4,0.4,-3.566666667,7.866666667,99.74738667,99.33109333,98.53811667,98.36363667,98.74718667,99.73727,99.06290667,0.166666667,0.166666667,0.666666667,0.5,,1527.666667,1253.333333,-403.3333333,3.307766667,1.788,3.979733333,-6.916666667
1/1/2003,149356,78181,75850,35323,29574,23219,6379,-209,86931,63730,60479,1.9,-15.33333333,,,-27.33333333,-50,-12.33333333,-76,-24.33333333,-13.33333333,9.666666667,-34.33333333,81.15666667,84.15,-0.1,-0.2,-5.066666667,2.9,100.53,99.26841667,97.97718,97.88805667,98.39997667,99.05326333,98.78462333,0.533333333,0.066666667,0.133333333,-0.133333333,4.84,4980,5125,582.6666667,2.965633333,1.409733333,3.9906,-15.96666467
4/1/2003,148840,77785,75690,35370,29633,23156,6511,-195,86093,64318,72057,3.4,45.66666667,,,-33.66666667,-60.66666667,-16,-83,-38.33333333,-18,3,-33,82.29666667,85.14666667,0.566666667,0.566666667,-8.9,0.933333333,101.1229667,99.41175667,97.39758,97.83881333,98.54916,98.65161667,98.66549333,0.066666667,-0.1,0,-0.566666667,4.596666667,7738,7362,1318,2.5836,1.31,3.685066667,-4.103332333
7/1/2003,148972,77598,75435,35492,29786,23215,6611,-574,86395,64616,59854,2.4,-12.33333333,,,-34.66666667,-55.66666667,-20.33333333,-81.66666667,-30.33333333,-23.33333333,1.333333333,-38.33333333,82.32,85.21,-0.166666667,-0.133333333,-10.56666667,-1.966666667,101.3604,99.75550667,97.38515333,98.46383333,99.03916333,98.87744667,98.99522,0.3,0.4,0.333333333,0.633333333,4.39,1703.333333,1267,394.6666667,2.227466667,1.1721,3.587466667,11.619995
10/1/2003,149770,79220,75577,35584,30326,23803,6553,-576,88046,65038,63262,3,16,,,-32.66666667,-48.33333333,-22.33333333,-81.33333333,-16.33333333,-25.66666667,-1.333333333,-39.33333333,82.96333333,85.93333333,0.333333333,0.333333333,-7.933333333,3.1,101.4625,100.2139667,97.92275333,99.56974,99.81206333,99.72100333,99.71732667,0.733333333,0.933333333,0.666666667,0.866666667,4.39,2747,2561.666667,591.3333333,2.143766667,1.145333333,3.6742,4.243337
1/1/2004,151125,79275,76436,34936,30177,23732,6466,-397,89132,64981,61192,1.4,-24.33333333,,,-26.33333333,-36,-19.66666667,-72.33333333,0,-24.66666667,-1.333333333,-33,82.52,85.40666667,-0.3,-0.366666667,-5.2,5.233333333,101.5657667,100.5297667,98.61616667,100.6584,100.2987,100.5785333,100.4123,0.333333333,0.1,-0.1,-0.1,4.47,2349,1726,-754,2.1316,1.156933333,4.0181,7.696665667
4/1/2004,151846,82365,76082,35403,29726,23569,6169,-274,93100,65344,73327,2,2.333333333,,,-19.66666667,-21.33333333,-18.33333333,-56.33333333,14,-23.33333333,1.333333333,-33,83.29,85.97333333,0.533333333,0.466666667,-4.733333333,2.666666667,101.2505,100.6973,99.11566333,101.1170667,100.4347333,100.9437667,100.6468667,1.366666667,1.3,1.533333333,1.533333333,4.216666667,-179,-523.6666667,-220.6666667,2.0494,1.1294,4.285966667,-3.966664667
7/1/2004,152073,83773,76047,35323,29504,23436,6072,18,94778,65440,60242,0.9,2,,,-20.66666667,-24,-18.33333333,-53.66666667,5.666666667,-22,2,-36,83.45,86.02,-0.166666667,-0.2,-1.333333333,5.7,100.6631667,100.8398667,99.44433,101.0010667,100.4330333,100.7268,100.5629667,0.1,0.1,-0.2,0.033333333,4.163333333,1606.333333,1110.666667,934.3333333,2.104866667,1.460633333,4.725133333,-3.833333333
10/1/2004,152404,85729,76082,35440,29973,23918,6046,-461,96900,65687,63970,1.4,-14,,,-17.66666667,-18,-17.66666667,-46.66666667,11,-23,3.666666667,-32.66666667,83.96666667,86.52333333,0.4,0.4,-1.933333333,3.333333333,100.4505333,100.82,99.70732333,100.6856,100.3041667,100.342,100.4845333,0.4,0.233333333,0.4,0.266666667,4.186666667,930.3333333,753.6666667,-909,2.126733333,1.9052,4.9368,0.190002333
1/1/2005,152896,85467,76210,35207,30225,24191,6025,-366,96874,65712,61826,0.8,31.33333333,,,-23.33333333,-27.33333333,-20.33333333,-51.33333333,-4,-25.66666667,-3.333333333,-32.33333333,83.60333333,86.08333333,-0.266666667,-0.333333333,-3.033333333,1.933333333,100.2841333,100.7019333,99.83053667,100.5531333,100.0821733,100.1483,100.4409333,0.466666667,0.333333333,0.466666667,0.3,3.823333333,2270.333333,2016,1817,2.162966667,2.490666667,4.875933333,9.980000667
4/1/2005,153972,86487,76490,35565,30849,24778,6045,-511,97787,66379,74837,1.8,7.333333333,,,-15,-9,-19.33333333,-35.33333333,18,-29.33333333,-0.333333333,-29,84.67,87.05333333,0.566666667,0.566666667,-2.366666667,5.933333333,100.1696,100.5970333,99.71035,100.3931333,99.72008333,99.99821667,100.2249333,0.466666667,0.6,0.6,0.333333333,3.766666667,2959.333333,2615.333333,433,2.1376,2.998766667,4.9405,-4.073333667
7/1/2005,156040,88442,77230,36056,31386,25226,6135,-415,99971,66994,61611,2,-1.666666667,,,-18.66666667,-14.33333333,-21.66666667,-37.66666667,9,-29,-2.333333333,-32.66666667,84.75,87.13333333,-0.2,-0.166666667,-4.233333333,1.633333333,100.2996333,100.6411333,99.69304667,100.3551667,99.60921,99.82110333,100.0767,-0.3,-0.033333333,-0.8,-0.033333333,3.753333333,5896.666667,5456.666667,3561.333333,2.118666667,3.437766667,4.7977,15.856659
10/1/2005,157024,88984,77453,36065,30772,24708,6061,437,101063,66621,65353,1.8,-8.333333333,,,-24.33333333,-25,-23.33333333,-49,-1.333333333,-26.66666667,-7,-36.66666667,85.45,87.86333333,0.433333333,0.433333333,-1,9.233333333,100.3458667,100.9589333,100.02061,100.5979333,100.05704,99.88019333,100.2241667,1.066666667,0.866666667,0.866666667,0.5,3.733333333,1185.666667,1109.333333,-443,2.156066667,3.957366667,4.592833333,-0.536661667
1/1/2006,158003,92283,76153,38225,31453,25069,6374,139,104035,67021,63101,1.9,14.33333333,,,-10.66666667,0,-18,-20,20,-18.66666667,-2.666666667,-32.33333333,85.03333333,87.55666667,-0.4,-0.233333333,0.3,9.033333333,100.3285667,101.3851,100.6193333,101.0845667,100.8059333,100.2190333,100.5889667,1,0.933333333,0.8,1.2,3.843333333,11066.33333,10941,5202.333333,2.4485,4.482833333,4.619833333,18.77999867
4/1/2006,160369,94040,76865,38646,32601,26097,6485,-156,106146,68324,77117,3,-18.66666667,,,-2.666666667,13,-13,-5.666666667,32,-17,3.666666667,-26,85.58666667,88.38666667,0.566666667,0.533333333,2.833333333,13.5,100.5866,101.6670667,101.1373333,101.3278667,101.4289667,100.3929667,100.8984667,0.566666667,1,1,1,4.136666667,5692.666667,5282.666667,1892.666667,2.7056,4.915666667,4.599666667,6.299998
7/1/2006,161328,94334,77012,38687,33411,26828,6553,-778,106997,68949,63258,2.5,-15.66666667,,,9,30.66666667,-5.666666667,17.33333333,44,-13.66666667,11.33333333,-14.66666667,85.89,88.67666667,-0.166666667,-0.166666667,3.6,9.2,100.9832667,101.5942333,101.3552333,101.2033,101.5781,100.2274,101.0057333,-0.3,-0.333333333,0.033333333,-0.3,4.396666667,-2301.333333,-2660.333333,-508.3333333,2.9923,5.3552,4.723233333,-5.113332
10/1/2006,162658,96716,76985,39299,34504,27732,6788,-192,108463,70219,69152,5.9,-5.666666667,,,12.66666667,33.33333333,-0.333333333,26,40.66666667,-10.66666667,12.66666667,-4,86.27666667,89.04666667,0.2,0.2,5.733333333,13.86666667,101.3182333,101.4836667,101.7184,101.2481,101.5761667,100.1273,101.1912,0.8,1.1,1.266666667,1.666666667,4.58,5967.666667,5906,725.3333333,3.354633333,5.392566667,5.0337,10.83666967
1/1/2007,164522,97442,77524,39538,35262,28566,6647,-739,109966,70849,66708,5.8,29,,,16.33333333,37.66666667,2,32.66666667,42.33333333,-6.666666667,12.66666667,1,85.92666667,88.65333333,-0.166666667,-0.2,4.9,12.43333333,102.3012,101.5302667,102.2979,101.5714667,101.8256,100.3745,101.6594667,0.466666667,0.533333333,0.066666667,0.133333333,4.636666667,14664.33333,14516.33333,5514.333333,3.677766667,5.364033333,5.334433333,4.413330333
4/1/2007,165363,98457,77790,39711,34902,28185,6671,68,110945,71722,80804,4.8,-50,,,20,39,7.333333333,36.66666667,41.33333333,0.333333333,15.33333333,6.333333333,87.04666667,89.74,0.7,0.7,4.366666667,12.23333333,103.9051667,101.4873667,102.7710667,101.9304,102.1108,100.6478,102.2084,0.333333333,0.133333333,0.433333333,0.133333333,4.746666667,4149.333333,3832,3512.666667,3.8948,5.353766667,5.588066667,10.33333333
